Replace Part LED2 LED in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with LED from LED_LIB.IntLib
Replace Part LED3 LED in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with LED from LED_LIB.IntLib
Replace Part LED4 LED in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with LED from LED_LIB.IntLib
Replace Part LED5 LED in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with LED from LED_LIB.IntLib
Replace Part Oscilator_1 CSTCC8M00G53-R0 in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with CSTCC8M00G53-R0 from Oscilator.IntLib
Replace Part Q1 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q2 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q3 P-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with P-MOSFET from Transistors_LIB.IntLib
Replace Part Q4 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q5 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q6 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q7 N-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with N-MOSFET from Transistors_LIB.IntLib
Replace Part Q8 P-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with P-MOSFET from Transistors_LIB.IntLib
Replace Part Q9 P-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with P-MOSFET from Transistors_LIB.IntLib
Replace Part Q10 P-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with P-MOSFET from Transistors_LIB.IntLib
Replace Part Q11 P-MOSFET in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with P-MOSFET from Transistors_LIB.IntLib
